report_date,yesterday_purchase,yesterday_redeem,week1,week2,week3,week4,day_of_week,day_of_month,isweekend,mfd_daily_yield,mfd_7daily_yield,Interest_1_M,shouldwork,dayofmonth_percent,term_percent
20140406,171320519,130175071,256893459,160853972,188184766,169872578,7,6,1,1.4314,5.373,4.166,0,0.2,0.6666666667
20140407,132973045,86148848,497687416,318658552,420064650,296534165,1,7,0,1.4312,5.373,4.154,0,0.2333333333,1
20140408,237413785,151211943,280407782,362444778,341931886,267437055,2,8,0,1.4263,5.368,4.22,1,0.2666666667,0.25
20140409,360613734,241500693,234601543,257938486,414884867,298538230,3,9,0,1.4239,5.36,4.233,1,0.3,0.5
20140410,465391689,301919971,259172151,326543305,304013906,255918695,4,10,0,1.4202,5.351,4.174,1,0.3333333333,0.75
20140411,325897532,292651452,171218775,372161003,280963645,270497983,5,11,0,1.4106,5.339,4.31,1,0.3666666667,1
20140412,275556141,263431235,130175071,138171183,200897470,242196362,6,12,1,1.4099,5.327,4.363,0,0.4,0.5
20140413,198643801,177456118,86148848,256893459,160853972,188184766,7,13,1,1.4097,5.315,4.286,0,0.4333333333,1
20140414,202424482,199455537,151211943,497687416,318658552,420064650,1,14,0,1.4048,5.3,4.238,1,0.4666666667,0.2
20140415,359340606,315904149,241500693,280407782,362444778,341931886,2,15,0,1.4022,5.287,4.2039,1,0.5,0.4
20140416,337278983,333481946,301919971,234601543,257938486,414884867,3,16,0,1.3958,5.272,4.199,1,0.5333333333,0.6
20140417,344518277,258644563,292651452,259172151,326543305,304013906,4,17,0,1.3866,5.253,4.2,1,0.5666666667,0.8
20140418,268273324,259158950,263431235,171218775,372161003,280963645,5,18,0,1.3841,5.239,4.178,1,0.6,1
20140419,297030419,212558260,177456118,130175071,138171183,200897470,6,19,1,1.3835,5.224,4.133,0,0.6333333333,0.5
20140420,131860659,161932743,199455537,86148848,256893459,160853972,7,20,1,1.383,5.21,4.114,0,0.6666666667,1
20140421,161634908,175154181,315904149,151211943,497687416,318658552,1,21,0,1.3866,5.2,4.114,1,0.7,0.2
20140422,381369739,416482875,333481946,241500693,280407782,362444778,2,22,0,1.3813,5.188,4.114,1,0.7333333333,0.4
20140423,268322472,329994810,258644563,301919971,234601543,257938486,3,23,0,1.3654,5.171,4.114,1,0.7666666667,0.6
20140424,262963640,289670313,259158950,292651452,259172151,326543305,4,24,0,1.3515,5.152,4.114,1,0.8,0.8
20140425,203798291,348965167,212558260,263431235,171218775,372161003,5,25,0,1.344,5.13,4.114,1,0.8333333333,1
20140426,320373050,231507912,161932743,177456118,130175071,138171183,6,26,1,1.3441,5.109,4.114,0,0.8666666667,0.5
20140427,184640194,110439209,175154181,199455537,86148848,256893459,7,27,1,1.3439,5.087,4.114,0,0.9,1
20140428,167611543,241292798,416482875,315904149,151211943,497687416,1,28,0,1.3506,5.067,4.114,1,0.9333333333,0.3333333333
20140429,285236269,413667536,329994810,333481946,241500693,280407782,2,29,0,1.346,5.048,4.114,1,0.9666666667,0.6666666667
20140430,303772841,340918574,289670313,258644563,301919971,234601543,3,30,0,1.3511,5.04,4.114,1,1,1
20140501,232262878,274590040,348965167,259158950,292651452,259172151,4,1,0,1.3364,5.032,4.114,0,0.0322580645,0.3333333333
20140502,197451051,113440731,231507912,212558260,263431235,171218775,5,2,0,1.3362,5.028,4.114,0,0.064516129,0.6666666667
20140503,129869154,103269793,110439209,161932743,177456118,130175071,6,3,1,1.3361,5.023,4.114,0,0.0967741935,1
20140504,229609301,174430184,241292798,175154181,199455537,86148848,7,4,1,1.3543,5.029,4.114,1,0.1290322581,0.1666666667
20140505,297192156,282088123,413667536,416482875,315904149,151211943,1,5,0,1.3378,5.022,4.114,1,0.1612903226,0.3333333333
20140506,425987710,324920452,340918574,329994810,333481946,241500693,2,6,0,1.3831,5.042,4.114,1,0.1935483871,0.5
20140507,323536443,295986647,274590040,289670313,258644563,301919971,3,7,0,1.3393,5.036,4.114,1,0.2258064516,0.6666666667
20140508,406395515,221742769,113440731,348965167,259158950,292651452,4,8,0,1.3221,5.028,4.114,1,0.2580645161,0.8333333333
20140509,353562072,267751934,103269793,231507912,212558260,263431235,5,9,0,1.3244,5.022,4.114,1,0.2903225806,1
20140510,265472393,158473997,174430184,110439209,161932743,177456118,6,10,1,1.3117,5.008,4.114,0,0.3225806452,0.5
20140511,227672886,258495276,282088123,241292798,175154181,199455537,7,11,1,1.3115,4.985,4.114,0,0.3548387097,1
20140512,208480221,142970887,324920452,413667536,416482875,315904149,1,12,0,1.3083,4.969,4.114,1,0.3870967742,0.2
20140513,285228437,338432936,295986647,340918574,329994810,333481946,2,13,0,1.3022,4.924,4.114,1,0.4193548387,0.4
20140514,362372059,250343867,221742769,274590040,289670313,258644563,3,14,0,1.2986,4.902,4.114,1,0.4516129032,0.6
20140515,290208996,297491596,267751934,113440731,348965167,259158950,4,15,0,1.2971,4.888,4.114,1,0.4838709677,0.8
20140516,303286621,435249186,158473997,103269793,231507912,212558260,5,16,0,1.2986,4.874,4.114,1,0.5161290323,1
20140517,254644568,200510199,258495276,174430184,110439209,161932743,6,17,1,1.2818,4.858,4.114,0,0.5483870968,0.5
20140518,116291491,179594252,142970887,282088123,241292798,175154181,7,18,1,1.2816,4.842,4.114,0,0.5806451613,1
20140519,161097108,145479624,338432936,324920452,413667536,416482875,1,19,0,1.3283,4.853,4.114,1,0.6129032258,0.2
20140520,347718384,422101826,250343867,295986647,340918574,329994810,2,20,0,1.3308,4.868,4.114,1,0.6451612903,0.4
20140521,286615315,197106347,297491596,221742769,274590040,289670313,3,21,0,1.323,4.882,4.114,1,0.6774193548,0.6
20140522,241015636,292385050,435249186,267751934,113440731,348965167,4,22,0,1.2887,4.877,4.114,1,0.7096774194,0.8
20140523,273390048,295631432,200510199,158473997,103269793,231507912,5,23,0,1.281,4.867,4.114,1,0.7419354839,1
20140524,200156003,223981714,179594252,258495276,174430184,110439209,6,24,1,1.2488,4.849,4.114,0,0.7741935484,0.5
20140525,141641047,233305829,145479624,142970887,282088123,241292798,7,25,1,1.2486,4.831,4.114,0,0.8064516129,1
20140526,169866612,147245163,422101826,338432936,324920452,413667536,1,26,0,1.249,4.788,4.114,1,0.8387096774,0.2
20140527,266803815,415178334,197106347,250343867,295986647,340918574,2,27,0,1.2548,4.746,4.114,1,0.8709677419,0.4
20140528,249676185,369000169,292385050,297491596,221742769,274590040,3,28,0,1.2597,4.712,4.114,1,0.9032258065,0.6
20140529,268930576,381785376,295631432,435249186,267751934,113440731,4,29,0,1.2381,4.684,4.114,1,0.935483871,0.8
20140530,339227554,402129748,223981714,200510199,158473997,103269793,5,30,0,1.279,4.683,4.114,1,0.9677419355,1
20140531,248860973,276489019,233305829,179594252,258495276,174430184,6,31,1,1.2376,4.677,4.114,0,1,0.3333333333
20140601,128370165,153225467,147245163,145479624,142970887,282088123,7,1,1,1.2364,4.67,4.114,0,0.0333333333,0.6666666667
20140602,143942297,111076626,415178334,422101826,338432936,324920452,1,2,0,1.2305,4.66,4.114,0,0.0666666667,1
20140603,176770324,157408750,369000169,197106347,250343867,295986647,2,3,0,1.2473,4.656,4.114,1,0.1,0.25
20140604,285424724,372184784,381785376,292385050,297491596,221742769,3,4,0,1.2611,4.657,4.114,1,0.1333333333,0.5
20140605,275697613,327061084,402129748,295631432,435249186,267751934,4,5,0,1.2818,4.681,4.114,1,0.1666666667,0.75
20140606,309000179,302841375,276489019,223981714,200510199,158473997,5,6,0,1.2476,4.664,4.114,1,0.2,1
20140607,255880246,217295228,153225467,233305829,179594252,258495276,6,7,1,1.2474,4.669,4.114,0,0.2333333333,0.5
20140608,155141863,206165504,111076626,147245163,145479624,142970887,7,8,1,1.2473,4.675,4.114,0,0.2666666667,1
20140609,181144835,180076832,157408750,415178334,422101826,338432936,1,9,0,1.2719,4.698,4.114,1,0.3,0.2
20140610,442360742,241085611,372184784,369000169,197106347,250343867,2,10,0,1.2628,4.706,4.114,1,0.3333333333,0.4
20140611,389636668,282137606,327061084,381785376,292385050,297491596,3,11,0,1.2723,4.712,4.114,1,0.3666666667,0.6
20140612,311384505,277431859,302841375,402129748,295631432,435249186,4,12,0,1.2625,4.702,4.114,1,0.4,0.8
20140613,267188252,256164551,217295228,276489019,223981714,200510199,5,13,0,1.2801,4.719,4.114,1,0.4333333333,1
20140614,256177180,284281673,206165504,153225467,233305829,179594252,6,14,1,1.2678,4.73,4.114,0,0.4666666667,0.5
20140615,148539864,289810759,180076832,111076626,147245163,145479624,7,15,1,1.2677,4.742,4.114,0,0.5,1
20140616,201999390,217992393,241085611,157408750,415178334,422101826,1,16,0,1.2581,4.734,4.114,1,0.5333333333,0.2
20140617,336917078,383963086,282137606,372184784,369000169,197106347,2,17,0,1.2436,4.724,4.114,1,0.5666666667,0.4
20140618,324524255,331341050,277431859,327061084,381785376,292385050,3,18,0,1.2244,4.697,4.114,1,0.6,0.6
20140619,266480068,358972950,256164551,302841375,402129748,295631432,4,19,0,1.193,4.66,4.114,1,0.6333333333,0.8
20140620,282577514,322086055,284281673,217295228,276489019,223981714,5,20,0,1.2332,4.634,4.114,1,0.6666666667,1
20140621,226974141,333222993,289810759,206165504,153225467,233305829,6,21,1,1.1774,4.585,4.114,0,0.7,0.5
20140622,186364721,169065467,217992393,180076832,111076626,147245163,7,22,1,1.1773,4.535,4.114,0,0.7333333333,1
20140623,143403001,232029485,383963086,241085611,157408750,415178334,1,23,0,1.1818,4.494,4.114,1,0.7666666667,0.2
20140624,304220528,444554691,331341050,282137606,372184784,369000169,2,24,0,1.1875,4.463,4.114,1,0.8,0.4
20140625,298405851,342707532,358972950,277431859,327061084,381785376,3,25,0,1.1376,4.416,4.114,1,0.8333333333,0.6
20140626,271335080,319358448,322086055,256164551,302841375,402129748,4,26,0,1.1175,4.375,4.114,1,0.8666666667,0.8
20140627,223576983,498151313,333222993,284281673,217295228,276489019,5,27,0,1.1403,4.324,4.114,1,0.9,1
20140628,186455771,307276813,169065467,289810759,206165504,153225467,6,28,1,1.1247,4.296,4.114,0,0.9333333333,0.5
20140629,181197896,199382031,232029485,217992393,180076832,111076626,7,29,1,1.1245,4.267,4.114,0,0.9666666667,1
20140630,171945311,238934317,444554691,383963086,241085611,157408750,1,30,0,1.1234,4.235,4.114,1,1,0.2
20140701,331665096,425796747,342707532,331341050,282137606,372184784,2,1,0,1.1619,4.221,4.114,1,0.0322580645,0.4
20140702,379361211,358485374,319358448,358972950,277431859,327061084,3,2,0,1.1374,4.221,4.114,1,0.064516129,0.6
20140703,301263008,364268994,498151313,322086055,256164551,302841375,4,3,0,1.1345,4.23,4.114,1,0.0967741935,0.8
20140704,205360896,257959811,307276813,333222993,284281673,217295228,5,4,0,1.1211,4.22,4.114,1,0.1290322581,1
20140705,221546458,253548445,199382031,169065467,289810759,206165504,6,5,1,1.121,4.218,4.114,0,0.1612903226,0.5
20140706,162447667,168602028,238934317,232029485,217992393,180076832,7,6,1,1.1209,4.216,4.114,0,0.1935483871,1
20140707,163090528,250453540,425796747,444554691,383963086,241085611,1,7,0,1.1216,4.215,4.114,1,0.2258064516,0.2
20140708,330300280,332660498,358485374,342707532,331341050,282137606,2,8,0,1.1183,4.191,4.114,1,0.2580645161,0.4
20140709,237821679,363952447,364268994,319358448,358972950,277431859,3,9,0,1.1169,4.18,4.114,1,0.2903225806,0.6
20140710,254180106,308883169,257959811,498151313,322086055,256164551,4,10,0,1.1305,4.178,4.114,1,0.3225806452,0.8
20140711,277110154,322207184,253548445,307276813,333222993,284281673,5,11,0,1.12,4.177,4.114,1,0.3548387097,1
20140712,233743113,266630674,168602028,199382031,169065467,289810759,6,12,1,1.113,4.173,4.114,0,0.3870967742,0.5
20140713,149584303,173485119,250453540,238934317,232029485,217992393,7,13,1,1.1125,4.169,4.114,0,0.4193548387,1
20140714,142610813,218339981,332660498,425796747,444554691,383963086,1,14,0,1.1284,4.172,4.114,1,0.4516129032,0.2
20140715,246080213,272164963,363952447,358485374,342707532,331341050,2,15,0,1.1341,4.181,4.114,1,0.4838709677,0.4
20140716,299355385,369452520,308883169,364268994,319358448,358972950,3,16,0,1.1377,4.192,4.114,1,0.5161290323,0.6
20140717,277080654,278415089,322207184,257959811,498151313,322086055,4,17,0,1.1133,4.183,4.114,1,0.5483870968,0.8
20140718,254493213,204597291,266630674,253548445,307276813,333222993,5,18,0,1.1215,4.184,4.114,1,0.5806451613,1
20140719,191967546,162854740,173485119,168602028,199382031,169065467,6,19,1,1.1131,4.184,4.114,0,0.6129032258,0.5
20140720,153934641,122809272,218339981,250453540,238934317,232029485,7,20,1,1.1129,4.184,4.114,0,0.6451612903,1
20140721,174324225,157986108,272164963,332660498,425796747,444554691,1,21,0,1.1428,4.192,4.114,1,0.6774193548,0.2
20140722,241509367,325273684,369452520,363952447,358485374,342707532,2,22,0,1.1166,4.182,4.114,1,0.7096774194,0.4
20140723,222479621,307691465,278415089,308883169,364268994,319358448,3,23,0,1.1266,4.176,4.114,1,0.7419354839,0.6
20140724,281820273,289004852,204597291,322207184,257959811,498151313,4,24,0,1.1215,4.181,4.114,1,0.7741935484,0.8
20140725,257332381,284291000,162854740,266630674,253548445,307276813,5,25,0,1.1244,4.182,4.114,1,0.8064516129,1
20140726,203397102,233005216,122809272,173485119,168602028,199382031,6,26,1,1.1221,4.187,4.114,0,0.8387096774,0.5
20140727,198457820,152163398,157986108,218339981,250453540,238934317,7,27,1,1.122,4.192,4.114,0,0.8709677419,1
20140728,162389176,281734449,325273684,272164963,332660498,425796747,1,28,0,1.1276,4.184,4.114,1,0.9032258065,0.2
20140729,253136439,393656353,307691465,369452520,363952447,358485374,2,29,0,1.1156,4.183,4.114,1,0.935483871,0.4
20140730,325692942,185509598,289004852,278415089,308883169,364268994,3,30,0,1.1162,4.178,4.114,1,0.9677419355,0.6
20140731,239088792,278053927,284291000,204597291,322207184,257959811,4,31,0,1.1156,4.174,4.114,1,1,0.8
20140801,228056623,269628521,233005216,162854740,266630674,253548445,5,1,0,1.1173,4.171,4.114,1,0.0322580645,1
20140802,378242546,282593743,152163398,122809272,173485119,168602028,6,2,1,1.118,4.168,4.114,0,0.064516129,0.5
20140803,152120792,162090956,281734449,157986108,218339981,250453540,7,3,1,1.1178,4.166,4.114,0,0.0967741935,1
20140804,154077981,121165959,393656353,325273684,272164963,332660498,1,4,0,1.1451,4.176,4.114,1,0.1290322581,0.2
20140805,254890053,248676024,185509598,307691465,369452520,363952447,2,5,0,1.1203,4.178,4.114,1,0.1612903226,0.4
20140806,311680953,278473251,278053927,289004852,278415089,308883169,3,6,0,1.1162,4.178,4.114,1,0.1935483871,0.6
20140807,269143684,247713799,269628521,284291000,204597291,322207184,4,7,0,1.1186,4.18,4.114,1,0.2258064516,0.8
20140808,256485155,283816788,282593743,233005216,162854740,266630674,5,8,0,1.1397,4.192,4.114,1,0.2580645161,1
20140809,228097887,204391027,162090956,152163398,122809272,173485119,6,9,1,1.1173,4.191,4.114,0,0.2903225806,0.5
20140810,146751994,143619719,121165959,281734449,157986108,218339981,7,10,1,1.1172,4.191,4.114,0,0.3225806452,1
20140811,164174384,223625820,248676024,393656353,325273684,272164963,1,11,0,1.1235,4.179,4.114,1,0.3548387097,0.2
20140812,284695009,385895199,278473251,185509598,307691465,369452520,2,12,0,1.1146,4.176,4.114,1,0.3870967742,0.4
20140813,260705801,254258310,247713799,278053927,289004852,278415089,3,13,0,1.1138,4.175,4.114,1,0.4193548387,0.6
20140814,262139305,308734578,283816788,269628521,284291000,204597291,4,14,0,1.1367,4.185,4.114,1,0.4516129032,0.8
20140815,248894735,252702796,204391027,282593743,233005216,162854740,5,15,0,1.1129,4.17,4.114,1,0.4838709677,1
20140816,268968079,221094668,143619719,162090956,152163398,122809272,6,16,1,1.1128,4.168,4.114,0,0.5161290323,0.5
20140817,158553438,158797400,223625820,121165959,281734449,157986108,7,17,1,1.1126,4.165,4.114,0,0.5483870968,1
20140818,161198309,194379633,385895199,248676024,393656353,325273684,1,18,0,1.1122,4.159,4.114,1,0.5806451613,0.2
20140819,280533543,385940924,254258310,278473251,185509598,307691465,2,19,0,1.122,4.163,4.114,1,0.6129032258,0.4
20140820,236052637,247704409,308734578,247713799,278053927,289004852,3,20,0,1.124,4.169,4.114,1,0.6451612903,0.6
20140821,209205785,244720592,252702796,283816788,269628521,284291000,4,21,0,1.1168,4.158,4.114,1,0.6774193548,0.8
20140822,234392568,185570807,221094668,204391027,282593743,233005216,5,22,0,1.104,4.153,4.114,1,0.7096774194,1
20140823,182566127,232911054,158797400,143619719,162090956,152163398,6,23,1,1.0997,4.146,4.114,0,0.7419354839,0.5
20140824,154613502,196780196,194379633,223625820,121165959,281734449,7,24,1,1.0993,4.139,4.114,0,0.7741935484,1
20140825,134164401,209908787,385940924,385895199,248676024,393656353,1,25,0,1.1122,4.139,4.114,1,0.8064516129,0.2
20140826,283116043,264492485,247704409,254258310,278473251,185509598,2,26,0,1.1085,4.131,4.114,1,0.8387096774,0.4
20140827,241046273,271225580,244720592,308734578,247713799,278053927,3,27,0,1.1079,4.123,4.114,1,0.8709677419,0.6
20140828,227515169,345649378,185570807,252702796,283816788,269628521,4,28,0,1.1043,4.116,4.114,1,0.9032258065,0.8
20140829,240376956,327274182,232911054,221094668,204391027,282593743,5,29,0,1.1169,4.123,4.114,1,0.935483871,1
20140830,214114844,359195182,196780196,158797400,143619719,162090956,6,30,1,1.1206,4.134,4.114,0,0.9677419355,0.5
20140831,183547267,201759798,209908787,194379633,223625820,121165959,7,31,1,1.1204,4.146,4.114,0,1,1
