report_date,yesterday_purchase,yesterday_redeem,week1,week2,week3,week4,day_of_week,day_of_month,isweekend,mfd_daily_yield,mfd_7daily_yield,Interest_3_M,shouldwork
20140416,337278983,333481946,465391689,418550858,426653122,295342178,3,16,0,1.3958,5.272,4.6758,1
20140417,344518277,258644563,325897532,301858010,266160879,302584612,4,17,0,1.3866,5.253,4.6695,1
20140418,268273324,259158950,275556141,235574221,223771699,274386390,5,18,0,1.3841,5.239,4.668,1
20140419,297030419,212558260,198643801,171320519,194925803,145506447,6,19,1,1.3835,5.224,4.6689,0
20140420,131860659,161932743,202424482,132973045,161565264,167604758,7,20,1,1.383,5.21,4.6659,0
20140421,161634908,175154181,359340606,237413785,377931423,330726069,1,21,0,1.3866,5.2,4.6659,1
20140422,381369739,416482875,337278983,360613734,424784984,337425152,2,22,0,1.3813,5.188,4.6659,1
20140423,268322472,329994810,344518277,465391689,418550858,426653122,3,23,0,1.3654,5.171,4.6659,1
20140424,262963640,289670313,268273324,325897532,301858010,266160879,4,24,0,1.3515,5.152,4.6659,1
20140425,203798291,348965167,297030419,275556141,235574221,223771699,5,25,0,1.344,5.13,4.6659,1
20140426,320373050,231507912,131860659,198643801,171320519,194925803,6,26,1,1.3441,5.109,4.6659,0
20140427,184640194,110439209,161634908,202424482,132973045,161565264,7,27,1,1.3439,5.087,4.6659,0
20140428,167611543,241292798,381369739,359340606,237413785,377931423,1,28,0,1.3506,5.067,4.6659,1
20140429,285236269,413667536,268322472,337278983,360613734,424784984,2,29,0,1.346,5.048,4.6659,1
20140430,303772841,340918574,262963640,344518277,465391689,418550858,3,30,0,1.3511,5.04,4.6659,1
20140501,232262878,274590040,203798291,268273324,325897532,301858010,4,1,0,1.3364,5.032,4.6659,0
20140502,197451051,113440731,320373050,297030419,275556141,235574221,5,2,0,1.3362,5.028,4.6659,0
20140503,129869154,103269793,184640194,131860659,198643801,171320519,6,3,1,1.3361,5.023,4.6659,0
20140504,229609301,174430184,167611543,161634908,202424482,132973045,7,4,1,1.3543,5.029,4.6659,1
20140505,297192156,282088123,285236269,381369739,359340606,237413785,1,5,0,1.3378,5.022,4.6659,1
20140506,425987710,324920452,303772841,268322472,337278983,360613734,2,6,0,1.3831,5.042,4.6659,1
20140507,323536443,295986647,232262878,262963640,344518277,465391689,3,7,0,1.3393,5.036,4.6659,1
20140508,406395515,221742769,197451051,203798291,268273324,325897532,4,8,0,1.3221,5.028,4.6659,1
20140509,353562072,267751934,129869154,320373050,297030419,275556141,5,9,0,1.3244,5.022,4.6659,1
20140510,265472393,158473997,229609301,184640194,131860659,198643801,6,10,1,1.3117,5.008,4.6659,0
20140511,227672886,258495276,297192156,167611543,161634908,202424482,7,11,1,1.3115,4.985,4.6659,0
20140512,208480221,142970887,425987710,285236269,381369739,359340606,1,12,0,1.3083,4.969,4.6659,1
20140513,285228437,338432936,323536443,303772841,268322472,337278983,2,13,0,1.3022,4.924,4.6659,1
20140514,362372059,250343867,406395515,232262878,262963640,344518277,3,14,0,1.2986,4.902,4.6659,1
20140515,290208996,297491596,353562072,197451051,203798291,268273324,4,15,0,1.2971,4.888,4.6659,1
20140516,303286621,435249186,265472393,129869154,320373050,297030419,5,16,0,1.2986,4.874,4.6659,1
20140517,254644568,200510199,227672886,229609301,184640194,131860659,6,17,1,1.2818,4.858,4.6659,0
20140518,116291491,179594252,208480221,297192156,167611543,161634908,7,18,1,1.2816,4.842,4.6659,0
20140519,161097108,145479624,285228437,425987710,285236269,381369739,1,19,0,1.3283,4.853,4.6659,1
20140520,347718384,422101826,362372059,323536443,303772841,268322472,2,20,0,1.3308,4.868,4.6659,1
20140521,286615315,197106347,290208996,406395515,232262878,262963640,3,21,0,1.323,4.882,4.6659,1
20140522,241015636,292385050,303286621,353562072,197451051,203798291,4,22,0,1.2887,4.877,4.6659,1
20140523,273390048,295631432,254644568,265472393,129869154,320373050,5,23,0,1.281,4.867,4.6659,1
20140524,200156003,223981714,116291491,227672886,229609301,184640194,6,24,1,1.2488,4.849,4.6659,0
20140525,141641047,233305829,161097108,208480221,297192156,167611543,7,25,1,1.2486,4.831,4.6659,0
20140526,169866612,147245163,347718384,285228437,425987710,285236269,1,26,0,1.249,4.788,4.6659,1
20140527,266803815,415178334,286615315,362372059,323536443,303772841,2,27,0,1.2548,4.746,4.6659,1
20140528,249676185,369000169,241015636,290208996,406395515,232262878,3,28,0,1.2597,4.712,4.6659,1
20140529,268930576,381785376,273390048,303286621,353562072,197451051,4,29,0,1.2381,4.684,4.6659,1
20140530,339227554,402129748,200156003,254644568,265472393,129869154,5,30,0,1.279,4.683,4.6659,1
20140531,248860973,276489019,141641047,116291491,227672886,229609301,6,31,1,1.2376,4.677,4.6659,0
20140601,128370165,153225467,169866612,161097108,208480221,297192156,7,1,1,1.2364,4.67,4.6659,0
20140602,143942297,111076626,266803815,347718384,285228437,425987710,1,2,0,1.2305,4.66,4.6659,0
20140603,176770324,157408750,249676185,286615315,362372059,323536443,2,3,0,1.2473,4.656,4.6659,1
20140604,285424724,372184784,268930576,241015636,290208996,406395515,3,4,0,1.2611,4.657,4.6659,1
20140605,275697613,327061084,339227554,273390048,303286621,353562072,4,5,0,1.2818,4.681,4.6659,1
20140606,309000179,302841375,248860973,200156003,254644568,265472393,5,6,0,1.2476,4.664,4.6659,1
20140607,255880246,217295228,128370165,141641047,116291491,227672886,6,7,1,1.2474,4.669,4.6659,0
20140608,155141863,206165504,143942297,169866612,161097108,208480221,7,8,1,1.2473,4.675,4.6659,0
20140609,181144835,180076832,176770324,266803815,347718384,285228437,1,9,0,1.2719,4.698,4.6659,1
20140610,442360742,241085611,285424724,249676185,286615315,362372059,2,10,0,1.2628,4.706,4.6659,1
20140611,389636668,282137606,275697613,268930576,241015636,290208996,3,11,0,1.2723,4.712,4.6659,1
20140612,311384505,277431859,309000179,339227554,273390048,303286621,4,12,0,1.2625,4.702,4.6659,1
20140613,267188252,256164551,255880246,248860973,200156003,254644568,5,13,0,1.2801,4.719,4.6659,1
20140614,256177180,284281673,155141863,128370165,141641047,116291491,6,14,1,1.2678,4.73,4.6659,0
20140615,148539864,289810759,181144835,143942297,169866612,161097108,7,15,1,1.2677,4.742,4.6659,0
20140616,201999390,217992393,442360742,176770324,266803815,347718384,1,16,0,1.2581,4.734,4.6659,1
20140617,336917078,383963086,389636668,285424724,249676185,286615315,2,17,0,1.2436,4.724,4.6659,1
20140618,324524255,331341050,311384505,275697613,268930576,241015636,3,18,0,1.2244,4.697,4.6659,1
20140619,266480068,358972950,267188252,309000179,339227554,273390048,4,19,0,1.193,4.66,4.6659,1
20140620,282577514,322086055,256177180,255880246,248860973,200156003,5,20,0,1.2332,4.634,4.6659,1
20140621,226974141,333222993,148539864,155141863,128370165,141641047,6,21,1,1.1774,4.585,4.6659,0
20140622,186364721,169065467,201999390,181144835,143942297,169866612,7,22,1,1.1773,4.535,4.6659,0
20140623,143403001,232029485,336917078,442360742,176770324,266803815,1,23,0,1.1818,4.494,4.6659,1
20140624,304220528,444554691,324524255,389636668,285424724,249676185,2,24,0,1.1875,4.463,4.6659,1
20140625,298405851,342707532,266480068,311384505,275697613,268930576,3,25,0,1.1376,4.416,4.6659,1
20140626,271335080,319358448,282577514,267188252,309000179,339227554,4,26,0,1.1175,4.375,4.6659,1
20140627,223576983,498151313,226974141,256177180,255880246,248860973,5,27,0,1.1403,4.324,4.6659,1
20140628,186455771,307276813,186364721,148539864,155141863,128370165,6,28,1,1.1247,4.296,4.6659,0
20140629,181197896,199382031,143403001,201999390,181144835,143942297,7,29,1,1.1245,4.267,4.6659,0
20140630,171945311,238934317,304220528,336917078,442360742,176770324,1,30,0,1.1234,4.235,4.6659,1
20140701,331665096,425796747,298405851,324524255,389636668,285424724,2,1,0,1.1619,4.221,4.6659,1
20140702,379361211,358485374,271335080,266480068,311384505,275697613,3,2,0,1.1374,4.221,4.6659,1
20140703,301263008,364268994,223576983,282577514,267188252,309000179,4,3,0,1.1345,4.23,4.6659,1
20140704,205360896,257959811,186455771,226974141,256177180,255880246,5,4,0,1.1211,4.22,4.6659,1
20140705,221546458,253548445,181197896,186364721,148539864,155141863,6,5,1,1.121,4.218,4.6659,0
20140706,162447667,168602028,171945311,143403001,201999390,181144835,7,6,1,1.1209,4.216,4.6659,0
20140707,163090528,250453540,331665096,304220528,336917078,442360742,1,7,0,1.1216,4.215,4.6659,1
20140708,330300280,332660498,379361211,298405851,324524255,389636668,2,8,0,1.1183,4.191,4.6659,1
20140709,237821679,363952447,301263008,271335080,266480068,311384505,3,9,0,1.1169,4.18,4.6659,1
20140710,254180106,308883169,205360896,223576983,282577514,267188252,4,10,0,1.1305,4.178,4.6659,1
20140711,277110154,322207184,221546458,186455771,226974141,256177180,5,11,0,1.12,4.177,4.6659,1
20140712,233743113,266630674,162447667,181197896,186364721,148539864,6,12,1,1.113,4.173,4.6659,0
20140713,149584303,173485119,163090528,171945311,143403001,201999390,7,13,1,1.1125,4.169,4.6659,0
20140714,142610813,218339981,330300280,331665096,304220528,336917078,1,14,0,1.1284,4.172,4.6659,1
20140715,246080213,272164963,237821679,379361211,298405851,324524255,2,15,0,1.1341,4.181,4.6659,1
20140716,299355385,369452520,254180106,301263008,271335080,266480068,3,16,0,1.1377,4.192,4.6659,1
20140717,277080654,278415089,277110154,205360896,223576983,282577514,4,17,0,1.1133,4.183,4.6659,1
20140718,254493213,204597291,233743113,221546458,186455771,226974141,5,18,0,1.1215,4.184,4.6659,1
20140719,191967546,162854740,149584303,162447667,181197896,186364721,6,19,1,1.1131,4.184,4.6659,0
20140720,153934641,122809272,142610813,163090528,171945311,143403001,7,20,1,1.1129,4.184,4.6659,0
20140721,174324225,157986108,246080213,330300280,331665096,304220528,1,21,0,1.1428,4.192,4.6659,1
20140722,241509367,325273684,299355385,237821679,379361211,298405851,2,22,0,1.1166,4.182,4.6659,1
20140723,222479621,307691465,277080654,254180106,301263008,271335080,3,23,0,1.1266,4.176,4.6659,1
20140724,281820273,289004852,254493213,277110154,205360896,223576983,4,24,0,1.1215,4.181,4.6659,1
20140725,257332381,284291000,191967546,233743113,221546458,186455771,5,25,0,1.1244,4.182,4.6659,1
20140726,203397102,233005216,153934641,149584303,162447667,181197896,6,26,1,1.1221,4.187,4.6659,0
20140727,198457820,152163398,174324225,142610813,163090528,171945311,7,27,1,1.122,4.192,4.6659,0
20140728,162389176,281734449,241509367,246080213,330300280,331665096,1,28,0,1.1276,4.184,4.6659,1
20140729,253136439,393656353,222479621,299355385,237821679,379361211,2,29,0,1.1156,4.183,4.6659,1
20140730,325692942,185509598,281820273,277080654,254180106,301263008,3,30,0,1.1162,4.178,4.6659,1
20140731,239088792,278053927,257332381,254493213,277110154,205360896,4,31,0,1.1156,4.174,4.6659,1
20140801,228056623,269628521,203397102,191967546,233743113,221546458,5,1,0,1.1173,4.171,4.6659,1
20140802,378242546,282593743,198457820,153934641,149584303,162447667,6,2,1,1.118,4.168,4.6659,0
20140803,152120792,162090956,162389176,174324225,142610813,163090528,7,3,1,1.1178,4.166,4.6659,0
20140804,154077981,121165959,253136439,241509367,246080213,330300280,1,4,0,1.1451,4.176,4.6659,1
20140805,254890053,248676024,325692942,222479621,299355385,237821679,2,5,0,1.1203,4.178,4.6659,1
20140806,311680953,278473251,239088792,281820273,277080654,254180106,3,6,0,1.1162,4.178,4.6659,1
20140807,269143684,247713799,228056623,257332381,254493213,277110154,4,7,0,1.1186,4.18,4.6659,1
20140808,256485155,283816788,378242546,203397102,191967546,233743113,5,8,0,1.1397,4.192,4.6659,1
20140809,228097887,204391027,152120792,198457820,153934641,149584303,6,9,1,1.1173,4.191,4.6659,0
20140810,146751994,143619719,154077981,162389176,174324225,142610813,7,10,1,1.1172,4.191,4.6659,0
20140811,164174384,223625820,254890053,253136439,241509367,246080213,1,11,0,1.1235,4.179,4.6659,1
20140812,284695009,385895199,311680953,325692942,222479621,299355385,2,12,0,1.1146,4.176,4.6659,1
20140813,260705801,254258310,269143684,239088792,281820273,277080654,3,13,0,1.1138,4.175,4.6659,1
20140814,262139305,308734578,256485155,228056623,257332381,254493213,4,14,0,1.1367,4.185,4.6659,1
20140815,248894735,252702796,228097887,378242546,203397102,191967546,5,15,0,1.1129,4.17,4.6659,1
20140816,268968079,221094668,146751994,152120792,198457820,153934641,6,16,1,1.1128,4.168,4.6659,0
20140817,158553438,158797400,164174384,154077981,162389176,174324225,7,17,1,1.1126,4.165,4.6659,0
20140818,161198309,194379633,284695009,254890053,253136439,241509367,1,18,0,1.1122,4.159,4.6659,1
20140819,280533543,385940924,260705801,311680953,325692942,222479621,2,19,0,1.122,4.163,4.6659,1
20140820,236052637,247704409,262139305,269143684,239088792,281820273,3,20,0,1.124,4.169,4.6659,1
20140821,209205785,244720592,248894735,256485155,228056623,257332381,4,21,0,1.1168,4.158,4.6659,1
20140822,234392568,185570807,268968079,228097887,378242546,203397102,5,22,0,1.104,4.153,4.6659,1
20140823,182566127,232911054,158553438,146751994,152120792,198457820,6,23,1,1.0997,4.146,4.6659,0
20140824,154613502,196780196,161198309,164174384,154077981,162389176,7,24,1,1.0993,4.139,4.6659,0
20140825,134164401,209908787,280533543,284695009,254890053,253136439,1,25,0,1.1122,4.139,4.6659,1
20140826,283116043,264492485,236052637,260705801,311680953,325692942,2,26,0,1.1085,4.131,4.6659,1
20140827,241046273,271225580,209205785,262139305,269143684,239088792,3,27,0,1.1079,4.123,4.6659,1
20140828,227515169,345649378,234392568,248894735,256485155,228056623,4,28,0,1.1043,4.116,4.6659,1
20140829,240376956,327274182,182566127,268968079,228097887,378242546,5,29,0,1.1169,4.123,4.6659,1
20140830,214114844,359195182,154613502,158553438,146751994,152120792,6,30,1,1.1206,4.134,4.6659,0
20140831,183547267,201759798,134164401,161198309,164174384,154077981,7,31,1,1.1204,4.146,4.6659,0
